#UID,filename,consideredRecs,unconsideredRecs,avgDxDt,stdevDxDt,avgDyDt,stdevDyDt,dtMax,DxDtMax,DyDtMax,MinX,MinY,MaxX,MaxY,AreaX,AreaY,AreaDiagonal
#Num,538,,,,,,,,,,,,,,,,
79,new_ascley.txt,3001,0,247.9814101,438.9147702,286.7954383,561.0383559,47723,9885.170782,17232.25717,37.34348,-122.51086,37.87665,-122.00012,65083.29203,59352.21291,56855.31673
81,new_asigno.txt,3001,0,264.0627684,688.3391641,354.5627223,2695.440912,8303,20955.89414,119690.7165,37.57052,-122.51382,37.82561,-122.19025,39093.64985,28396.48891,36019.64764
80,new_ashgati.txt,3001,0,264.1063414,476.2344819,260.4927128,348.2256905,12291,10820.25451,2968.715052,37.5133,-122.47953,37.80857,-122.2529,30758.41822,32869.30605,25228.3362
82,new_askmecle.txt,3001,0,408.4579485,634.8134493,353.1190183,596.3012999,55533,8549.336893,14694.17278,37.38112,-122.50776,37.86587,-122.01186,62265.2471,53962.12316,55203.33548
83,new_aslagni.txt,3001,0,379.3662314,922.5088112,333.6275586,1239.454842,48737,39574.07898,43013.85124,37.51329,-122.5368,37.99189,-122.00175,66004.7358,53277.50829,59561.49355
84,new_aswift.txt,3001,0,225.7337062,510.1867263,253.2758982,696.079319,27692,18100.5492,23243.50968,37.61393,-122.51137,37.82517,-122.18984,37939.86235,23515.12924,35792.55587
86,new_atfrav.txt,3001,0,189.1739396,275.1555723,254.7169915,504.1843898,167037,3840.522432,18634.88276,37.61411,-122.50452,37.84591,-122.03805,53723.7616,25803.85797,51927.20287
85,new_atcilav.txt,3001,0,279.202427,850.4854346,268.1971493,1042.565926,17867,24178.5934,43748.55988,37.61379,-122.51136,37.83709,-122.18826,38347.89601,24857.64229,35967.32748
87,new_atfrim.txt,3001,0,445.2262065,614.6757821,365.375937,499.1629303,41155,7747.836559,6567.849957,37.41876,-122.51708,37.99923,-122.10233,57658.10272,64617.62482,46169.75881
88,new_atidfi.txt,3001,0,400.7016285,1154.917291,326.5592354,529.5025715,24551,52698.64694,14460.40185,37.44595,-122.52606,37.98579,-122.12556,54957.05466,60094.71391,44583.45606
89,new_atnokvo.txt,3001,0,528.8020259,717.9436346,389.0346221,547.4208854,25014,6069.695236,9885.170782,37.45469,-122.4782,37.82676,-122.15448,42295.15246,41418.64294,36036.34556
90,new_atsfiv.txt,3001,0,498.6741418,2436.114064,393.853089,927.9600131,10744,125501.5939,35199.22299,37.33459,-122.50183,37.88133,-122.01233,63438.03115,60862.8184,54490.89074
91,new_atzumbon.txt,3001,0,1079.061619,34463.14379,236.8887378,1124.893241,35512,1397538.283,43704.03209,37.61416,-122.49872,50.30546,-122.00204,754796.8907,1412789.054,55290.16469
93,new_auctjir.txt,3001,0,345.0355641,530.559536,323.0174089,434.5569698,54696,5142.960475,6812.752837,37.48201,-122.49998,37.80856,-122.00207,58723.33655,36351.37972,55427.08766
92,new_aucjun.txt,3001,0,199.924581,1806.78906,172.720262,482.5770989,127492,73136.90545,18100.5492,37.61377,-122.4996,37.80841,-122.3847,17282.97252,21667.22569,12790.60949
94,new_aupclik.txt,3001,1,357.8458268,1271.285449,326.673987,1928.769058,34840,56639.35692,89676.95779,37.4897,-122.47935,37.8977,-122.1985,39594.20566,45418.35224,31264.07899
97,new_avglybic.txt,3001,0,370.4236788,595.0232215,283.0538338,435.363199,46883,7066.561276,7079.919614,37.38817,-122.51713,37.89256,-122.07793,57362.00255,56148.43796,48891.52036
100,new_awnbeb.txt,3001,0,267.6012416,661.9877206,236.0553993,527.6079295,16313,23443.88476,23310.30137,37.55949,-122.50665,37.80811,-122.31556,25933.597,27676.2518,21272.0415
99,new_avpavi.txt,3001,0,153.1449338,360.5781452,169.7129816,348.4273308,102748,6545.586059,11354.58806,37.61379,-122.49455,37.80851,-122.38508,16843.31759,21676.13125,12186.14466
98,new_aviltly.txt,3001,0,250.1085962,412.4918301,257.7383333,352.6625975,46839,3606.751502,4608.626919,37.61393,-122.51374,37.82499,-122.18871,38304.19608,23495.09173,36182.17409
95,new_aurjyen.txt,3001,0,453.2669997,3979.434318,333.5442085,662.181421,20635,213399.4639,15028.13126,37.50365,-122.51676,37.90248,-122.24459,38513.39547,44397.55251,30297.82581
96,new_avdyab.txt,3001,0,208.0542344,484.986844,254.4602393,1169.767241,40049,17365.84056,60446.4835,37.55232,-122.5026,37.85703,-122.29837,29107.01271,33920.16204,22734.7796
101,new_awrenba.txt,3001,0,350.8512214,1269.248894,281.2521648,772.9632123,16405,58876.87868,29288.15803,37.59108,-122.48884,37.82749,-122.2496,30129.33785,26317.04082,26632.07498
102,new_awribig.txt,3001,0,209.9794417,324.9426853,233.0158086,340.4464635,119040,2687.859705,6812.752837,37.51204,-122.51018,37.83066,-122.22057,37414.76902,35468.61616,32239.23773
104,new_ayfsdu.txt,3001,0,222.4373295,402.1192152,231.6944674,541.864083,22786,8248.774268,26065.45877,37.60166,-122.50742,37.82942,-122.21429,35340.49169,25354.12722,32631.08234
106,new_aypudby.txt,3001,0,325.7627501,1167.562129,324.5388166,976.1452407,27676,40909.91287,28586.84524,37.33085,-122.49998,37.86094,-122,63946.92871,59009.34887,55657.51901
105,new_aygpha.txt,3001,0,275.5954255,605.6057487,296.4939926,728.8219105,19362,16831.50701,19236.00801,37.58805,-122.50617,37.82709,-122.2046,36466.16581,26609.81108,33570.61884
103,new_aydwaho.txt,3001,0,267.6542617,698.7340623,247.7797155,820.3482657,79392,30657.38776,39340.30805,37.61347,-122.48514,37.89254,-122.18167,37647.04052,31065.9303,33782.12587
